"","Year","Month","Mon","Station","Gear","Catch","Effort"
"482",1999,"Mar",3,1,"Gillnet",1.035,21494
"483",1999,"Mar",3,2,"Gillnet",1.69,16869
"484",1999,"Mar",3,3,"Gillnet",2.346,17514
"485",2000,"Mar",3,1,"Gillnet",3.11,25762
"486",2000,"Mar",3,2,"Gillnet",2.165,17781
"487",2000,"Mar",3,3,"Gillnet",4.53,17480
"488",2001,"Mar",3,1,"Gillnet",0.997,18896
"489",2001,"Mar",3,2,"Gillnet",0.823,16147
"490",2001,"Mar",3,3,"Gillnet",2.009,13749
"491",2002,"Mar",3,1,"Gillnet",1.78,19551
"492",2002,"Mar",3,2,"Gillnet",0.83,12620
"493",2002,"Mar",3,3,"Gillnet",2.317,11584
"494",2003,"Mar",3,1,"Gillnet",4.734,37239
"495",2003,"Mar",3,2,"Gillnet",4.709,36327
"496",2003,"Mar",3,3,"Gillnet",6.589,24996
"497",2004,"Mar",3,1,"Gillnet",7.312,40173
"498",2004,"Mar",3,2,"Gillnet",3.731,26348
"499",2004,"Mar",3,3,"Gillnet",7.104,29436
"500",2005,"Mar",3,1,"Gillnet",5.563,32211
"501",2005,"Mar",3,2,"Gillnet",2.929,26322
"502",2005,"Mar",3,3,"Gillnet",3.672,24353
"503",2006,"Mar",3,1,"Gillnet",3.739,46434
"504",2006,"Mar",3,2,"Gillnet",0.82,17165
"505",2006,"Mar",3,3,"Gillnet",3.988,24925
"506",2007,"Mar",3,1,"Gillnet",4.229,33142
"507",2007,"Mar",3,2,"Gillnet",1.589,12727
"508",2007,"Mar",3,3,"Gillnet",5.758,22344
"509",2008,"Mar",3,1,"Gillnet",8.893,20373
"510",2008,"Mar",3,2,"Gillnet",0.995,3467
"511",2008,"Mar",3,3,"Gillnet",9.963,18832
"512",2009,"Mar",3,1,"Gillnet",2.497,37405
"513",2009,"Mar",3,2,"Gillnet",0.263,8028
"514",2009,"Mar",3,3,"Gillnet",3.507,20629
"515",2010,"Mar",3,1,"Gillnet",1.312,28020
"516",2010,"Mar",3,2,"Gillnet",0.359,7100
"517",2010,"Mar",3,3,"Gillnet",2.837,24679
"518",2011,"Mar",3,1,"Gillnet",2.678,29955
"519",2011,"Mar",3,2,"Gillnet",0.653,6057
"520",2011,"Mar",3,3,"Gillnet",2.373,18072
"521",2012,"Mar",3,1,"Gillnet",4.408,34850
"522",2012,"Mar",3,2,"Gillnet",1.545,9149
"523",2012,"Mar",3,3,"Gillnet",3.623,12711
"524",2013,"Mar",3,1,"Gillnet",2.46,28215
"525",2013,"Mar",3,2,"Gillnet",0.181,4972
"526",2013,"Mar",3,3,"Gillnet",3.371,14690
"527",2014,"Mar",3,1,"Gillnet",3.647,18417
"528",2014,"Mar",3,2,"Gillnet",0.354,5722
"529",2014,"Mar",3,3,"Gillnet",3.566,17093
"530",2015,"Mar",3,1,"Gillnet",10.154,28511
"531",2015,"Mar",3,2,"Gillnet",1.687,5049
"532",2015,"Mar",3,3,"Gillnet",8.02,21292
"533",2016,"Mar",3,1,"Gillnet",1.224,10381
"534",2016,"Mar",3,2,"Gillnet",0.467,1491
"535",2016,"Mar",3,3,"Gillnet",1.751,8680
"536",2017,"Mar",3,1,"Gillnet",1.92,10720
"537",2017,"Mar",3,2,"Gillnet",0.862,2874
"538",2017,"Mar",3,3,"Gillnet",2.317,12478
"539",2018,"Mar",3,1,"Gillnet",1.627,18943
"540",2018,"Mar",3,2,"Gillnet",0.264,816
"541",2018,"Mar",3,3,"Gillnet",2.071,12902
"542",2019,"Mar",3,1,"Gillnet",0.695,8114
"543",2019,"Mar",3,2,"Gillnet",0.305,572
"544",2019,"Mar",3,3,"Gillnet",1.404,5136
"545",2020,"Mar",3,1,"Gillnet",5.563,14088
"546",2020,"Mar",3,2,"Gillnet",1.241,1096
"547",2020,"Mar",3,3,"Gillnet",3.747,4144
"548",1998,"May",5,1,"Gillnet",8.248,30229
"549",1998,"May",5,2,"Gillnet",10.028,31309
"550",1998,"May",5,3,"Gillnet",17.004,31820
"551",1999,"May",5,1,"Gillnet",2.779,28302
"552",1999,"May",5,2,"Gillnet",5.898,33371
"553",1999,"May",5,3,"Gillnet",4.277,25096
"554",2000,"May",5,1,"Gillnet",3.29,22427
"555",2000,"May",5,2,"Gillnet",7.493,28927
"556",2000,"May",5,3,"Gillnet",8.876,28838
"557",2001,"May",5,1,"Gillnet",1.978,23197
"558",2001,"May",5,2,"Gillnet",4.233,23331
"559",2001,"May",5,3,"Gillnet",6.845,26962
"560",2002,"May",5,1,"Gillnet",3.308,21355
"561",2002,"May",5,2,"Gillnet",4.955,21659
"562",2002,"May",5,3,"Gillnet",5.78,22501
"563",2003,"May",5,1,"Gillnet",20.228,58628
"564",2003,"May",5,2,"Gillnet",18.197,34734
"565",2003,"May",5,3,"Gillnet",17.01,43738
"566",2004,"May",5,1,"Gillnet",10.512,32165
"567",2004,"May",5,2,"Gillnet",10.61,28275
"568",2004,"May",5,3,"Gillnet",12.588,23746
"569",2005,"May",5,1,"Gillnet",18.555,45904
"570",2005,"May",5,2,"Gillnet",8.137,30950
"571",2005,"May",5,3,"Gillnet",11.91,29713
"572",2006,"May",5,1,"Gillnet",17.568,40641
"573",2006,"May",5,2,"Gillnet",10.848,29232
"574",2006,"May",5,3,"Gillnet",24.002,43013
"575",2007,"May",5,1,"Gillnet",6.511,31962
"576",2007,"May",5,2,"Gillnet",5.951,18558
"577",2007,"May",5,3,"Gillnet",12.318,31879
"578",2008,"May",5,1,"Gillnet",4.288,25770
"579",2008,"May",5,2,"Gillnet",2.892,15372
"580",2008,"May",5,3,"Gillnet",7.948,22633
"581",2009,"May",5,1,"Gillnet",5.647,27912
"582",2009,"May",5,2,"Gillnet",2.403,17314
"583",2009,"May",5,3,"Gillnet",8.027,30352
"584",2010,"May",5,1,"Gillnet",4.18,24753
"585",2010,"May",5,2,"Gillnet",1.497,16011
"586",2010,"May",5,3,"Gillnet",7.146,38009
"587",2011,"May",5,1,"Gillnet",7.55,26600
"588",2011,"May",5,2,"Gillnet",6.242,19826
"589",2011,"May",5,3,"Gillnet",9.529,35260
"590",2012,"May",5,1,"Gillnet",6.491,22012
"591",2012,"May",5,2,"Gillnet",6.161,20316
"592",2012,"May",5,3,"Gillnet",8.388,33381
"593",2013,"May",5,1,"Gillnet",8.337,29018
"594",2013,"May",5,2,"Gillnet",1.596,7507
"595",2013,"May",5,3,"Gillnet",8.929,34130
"596",2014,"May",5,1,"Gillnet",3.797,22369
"597",2014,"May",5,2,"Gillnet",1,5524
"598",2014,"May",5,3,"Gillnet",3.263,16296
"599",2015,"May",5,1,"Gillnet",5.633,25591
"600",2015,"May",5,2,"Gillnet",0.919,4536
"601",2015,"May",5,3,"Gillnet",5.66,24908
"602",2016,"May",5,1,"Gillnet",4.686,23492
"603",2016,"May",5,2,"Gillnet",1.663,5151
"604",2016,"May",5,3,"Gillnet",3.606,12820
"605",2017,"May",5,1,"Gillnet",6.581,21626
"606",2017,"May",5,2,"Gillnet",2.277,7357
"607",2017,"May",5,3,"Gillnet",7.771,21883
"608",2018,"May",5,1,"Gillnet",5.284,19859
"609",2018,"May",5,2,"Gillnet",0.488,3880
"610",2018,"May",5,3,"Gillnet",5.344,14270
"611",2019,"May",5,1,"Gillnet",3.567,22629
"612",2019,"May",5,2,"Gillnet",0.471,2317
"613",2019,"May",5,3,"Gillnet",6,9633
"614",2020,"May",5,1,"Gillnet",5.291,23456
"615",2020,"May",5,2,"Gillnet",0.754,2352
"616",2020,"May",5,3,"Gillnet",4.303,9074
"617",1998,"Nov",11,1,"Gillnet",10.565,22150
"618",1998,"Nov",11,2,"Gillnet",5.199,19653
"619",1998,"Nov",11,3,"Gillnet",22.367,36529
"620",1999,"Nov",11,1,"Gillnet",10.954,27747
"621",1999,"Nov",11,2,"Gillnet",17.432,31875
"622",1999,"Nov",11,3,"Gillnet",23.675,36953
"623",2000,"Nov",11,1,"Gillnet",6.741,25070
"624",2000,"Nov",11,2,"Gillnet",14.807,37164
"625",2000,"Nov",11,3,"Gillnet",17.315,35102
"626",2001,"Nov",11,1,"Gillnet",6.778,25440
"627",2001,"Nov",11,2,"Gillnet",8.874,25222
"628",2001,"Nov",11,3,"Gillnet",18.938,31844
"629",2002,"Nov",11,1,"Gillnet",18.544,36384
"630",2002,"Nov",11,2,"Gillnet",15.038,25826
"631",2002,"Nov",11,3,"Gillnet",19.522,30134
"632",2003,"Nov",11,1,"Gillnet",22.517,46794
"633",2003,"Nov",11,2,"Gillnet",9.812,24645
"634",2003,"Nov",11,3,"Gillnet",26.698,55770
"635",2004,"Nov",11,1,"Gillnet",19.158,47200
"636",2004,"Nov",11,2,"Gillnet",6.224,22365
"637",2004,"Nov",11,3,"Gillnet",13.285,36508
"638",2005,"Nov",11,1,"Gillnet",17.038,36738
"639",2005,"Nov",11,2,"Gillnet",6.098,15592
"640",2005,"Nov",11,3,"Gillnet",9.871,29760
"641",2006,"Nov",11,1,"Gillnet",18.28,40901
"642",2006,"Nov",11,2,"Gillnet",5.631,14500
"643",2006,"Nov",11,3,"Gillnet",16.27,37502
"644",2007,"Nov",11,1,"Gillnet",11.891,38785
"645",2007,"Nov",11,2,"Gillnet",2.451,14746
"646",2007,"Nov",11,3,"Gillnet",12.672,37440
"647",2008,"Nov",11,1,"Gillnet",7.408,36899
"648",2008,"Nov",11,2,"Gillnet",1.249,8438
"649",2008,"Nov",11,3,"Gillnet",8.658,30831
"650",2009,"Nov",11,1,"Gillnet",13.668,45281
"651",2009,"Nov",11,2,"Gillnet",1.188,9220
"652",2009,"Nov",11,3,"Gillnet",11.496,36603
"653",2010,"Nov",11,1,"Gillnet",11.182,30181
"654",2010,"Nov",11,2,"Gillnet",0.651,4842
"655",2010,"Nov",11,3,"Gillnet",9.482,28664
"656",2011,"Nov",11,1,"Gillnet",29.133,42513
"657",2011,"Nov",11,2,"Gillnet",7.208,16650
"658",2011,"Nov",11,3,"Gillnet",13.968,34488
"659",2012,"Nov",11,1,"Gillnet",15.196,42439
"660",2012,"Nov",11,2,"Gillnet",2.618,6678
"661",2012,"Nov",11,3,"Gillnet",7.656,28698
"662",2013,"Nov",11,1,"Gillnet",6.991,39052
"663",2013,"Nov",11,2,"Gillnet",0.296,2370
"664",2013,"Nov",11,3,"Gillnet",6.357,26066
"665",2014,"Nov",11,1,"Gillnet",16.522,39879
"666",2014,"Nov",11,2,"Gillnet",3.312,7025
"667",2014,"Nov",11,3,"Gillnet",8.947,26624
"668",2015,"Nov",11,1,"Gillnet",8.833,33683
"669",2015,"Nov",11,2,"Gillnet",1.473,4496
"670",2015,"Nov",11,3,"Gillnet",4.812,22835
"671",2016,"Nov",11,1,"Gillnet",8.834,23723
"672",2016,"Nov",11,2,"Gillnet",3.868,7711
"673",2016,"Nov",11,3,"Gillnet",4.703,19414
"674",2017,"Nov",11,1,"Gillnet",7.063,38328
"675",2017,"Nov",11,2,"Gillnet",1.325,2257
"676",2017,"Nov",11,3,"Gillnet",3.506,16715
"677",2018,"Nov",11,1,"Gillnet",14.903,47685
"678",2018,"Nov",11,2,"Gillnet",3.49,4160
"679",2018,"Nov",11,3,"Gillnet",6.346,19712
"680",2019,"Nov",11,1,"Gillnet",8.854,25803
"681",2019,"Nov",11,2,"Gillnet",2.09,1250
"682",2019,"Nov",11,3,"Gillnet",5.114,11015
"683",2020,"Nov",11,1,"Gillnet",10.834,27222
"684",2020,"Nov",11,2,"Gillnet",3.206,1120
"685",2020,"Nov",11,3,"Gillnet",5.415,13682
"686",1998,"Oct",10,1,"Gillnet",7.368,22282
"687",1998,"Oct",10,2,"Gillnet",7.085,18823
"688",1998,"Oct",10,3,"Gillnet",15.678,35042
"689",1999,"Oct",10,1,"Gillnet",10.592,32701
"690",1999,"Oct",10,2,"Gillnet",16.764,28744
"691",1999,"Oct",10,3,"Gillnet",25.778,33981
"692",2000,"Oct",10,1,"Gillnet",5.942,28660
"693",2000,"Oct",10,2,"Gillnet",13.7,31128
"694",2000,"Oct",10,3,"Gillnet",19.465,33405
"695",2001,"Oct",10,1,"Gillnet",11.395,39052
"696",2001,"Oct",10,2,"Gillnet",14.505,27223
"697",2001,"Oct",10,3,"Gillnet",17.429,32505
"698",2002,"Oct",10,1,"Gillnet",28.225,45821
"699",2002,"Oct",10,2,"Gillnet",21.95,28401
"700",2002,"Oct",10,3,"Gillnet",30.038,31310
"701",2003,"Oct",10,1,"Gillnet",18.291,49036
"702",2003,"Oct",10,2,"Gillnet",19.224,31228
"703",2003,"Oct",10,3,"Gillnet",27.134,51312
"704",2004,"Oct",10,1,"Gillnet",11.929,42856
"705",2004,"Oct",10,2,"Gillnet",10.024,28115
"706",2004,"Oct",10,3,"Gillnet",13.14,39097
"707",2005,"Oct",10,1,"Gillnet",12.432,37892
"708",2005,"Oct",10,2,"Gillnet",9.464,31697
"709",2005,"Oct",10,3,"Gillnet",10.534,30639
"710",2006,"Oct",10,1,"Gillnet",11.361,38996
"711",2006,"Oct",10,2,"Gillnet",6.565,17264
"712",2006,"Oct",10,3,"Gillnet",14.997,28691
"713",2007,"Oct",10,1,"Gillnet",10.757,39970
"714",2007,"Oct",10,2,"Gillnet",4.386,20487
"715",2007,"Oct",10,3,"Gillnet",10.099,29154
"716",2008,"Oct",10,1,"Gillnet",10.319,43042
"717",2008,"Oct",10,2,"Gillnet",3.198,15396
"718",2008,"Oct",10,3,"Gillnet",5.68,20948
"719",2009,"Oct",10,1,"Gillnet",17.239,53012
"720",2009,"Oct",10,2,"Gillnet",2.343,10296
"721",2009,"Oct",10,3,"Gillnet",8.064,26617
"722",2010,"Oct",10,1,"Gillnet",21.434,56389
"723",2010,"Oct",10,2,"Gillnet",3.594,17734
"724",2010,"Oct",10,3,"Gillnet",8.055,27111
"725",2011,"Oct",10,1,"Gillnet",29.567,53877
"726",2011,"Oct",10,2,"Gillnet",6.701,18244
"727",2011,"Oct",10,3,"Gillnet",14.035,22860
"728",2012,"Oct",10,1,"Gillnet",12.206,47111
"729",2012,"Oct",10,2,"Gillnet",3.597,15166
"730",2012,"Oct",10,3,"Gillnet",6.066,22322
"731",2013,"Oct",10,1,"Gillnet",11.839,49279
"732",2013,"Oct",10,2,"Gillnet",2.086,7044
"733",2013,"Oct",10,3,"Gillnet",7.826,27891
"734",2014,"Oct",10,1,"Gillnet",17.506,42338
"735",2014,"Oct",10,2,"Gillnet",3.71,10223
"736",2014,"Oct",10,3,"Gillnet",8.382,30413
"737",2015,"Oct",10,1,"Gillnet",13.66,35175
"738",2015,"Oct",10,2,"Gillnet",2.142,8105
"739",2015,"Oct",10,3,"Gillnet",5.038,21418
"740",2016,"Oct",10,1,"Gillnet",18.536,46086
"741",2016,"Oct",10,2,"Gillnet",3.024,7473
"742",2016,"Oct",10,3,"Gillnet",3.231,13954
"743",2017,"Oct",10,1,"Gillnet",6.55,46010
"744",2017,"Oct",10,2,"Gillnet",1.697,5598
"745",2017,"Oct",10,3,"Gillnet",2.373,10431
"746",2018,"Oct",10,1,"Gillnet",25.271,54277
"747",2018,"Oct",10,2,"Gillnet",4.763,6770
"748",2018,"Oct",10,3,"Gillnet",3.437,10021
"749",2019,"Oct",10,1,"Gillnet",15.98,49409
"750",2019,"Oct",10,2,"Gillnet",4.636,4840
"751",2019,"Oct",10,3,"Gillnet",2.935,7501
"752",2020,"Oct",10,1,"Gillnet",8.636,30315
"753",2020,"Oct",10,2,"Gillnet",3.707,3352
"754",2020,"Oct",10,3,"Gillnet",4.56,7041
"755",1998,"Sep",9,1,"Gillnet",1.157,15837
"756",1998,"Sep",9,2,"Gillnet",1.21,7847
"757",1998,"Sep",9,3,"Gillnet",6.554,16374
"758",1999,"Sep",9,1,"Gillnet",4.313,14761
"759",1999,"Sep",9,2,"Gillnet",1.106,16507
"760",1999,"Sep",9,3,"Gillnet",11.061,18929
"761",2000,"Sep",9,1,"Gillnet",4.325,17186
"762",2000,"Sep",9,2,"Gillnet",4.511,15903
"763",2000,"Sep",9,3,"Gillnet",6.587,16991
"764",2001,"Sep",9,1,"Gillnet",3.468,24003
"765",2001,"Sep",9,2,"Gillnet",0.636,9624
"766",2001,"Sep",9,3,"Gillnet",7.188,14699
"767",2002,"Sep",9,1,"Gillnet",9.094,23607
"768",2002,"Sep",9,2,"Gillnet",0.987,10281
"769",2002,"Sep",9,3,"Gillnet",9.652,13944
"770",2003,"Sep",9,1,"Gillnet",7.92,33065
"771",2003,"Sep",9,2,"Gillnet",2.173,14262
"772",2003,"Sep",9,3,"Gillnet",11.034,22953
"773",2004,"Sep",9,1,"Gillnet",3.364,24013
"774",2004,"Sep",9,2,"Gillnet",3.386,11701
"775",2004,"Sep",9,3,"Gillnet",5.814,14857
"776",2005,"Sep",9,1,"Gillnet",8.721,27446
"777",2005,"Sep",9,2,"Gillnet",2.805,17429
"778",2005,"Sep",9,3,"Gillnet",5.413,14201
"779",2006,"Sep",9,1,"Gillnet",2.966,23708
"780",2006,"Sep",9,2,"Gillnet",0.855,10211
"781",2006,"Sep",9,3,"Gillnet",4.605,14583
"782",2007,"Sep",9,1,"Gillnet",4.062,29526
"783",2007,"Sep",9,2,"Gillnet",0.459,8032
"784",2007,"Sep",9,3,"Gillnet",3.166,11837
"785",2008,"Sep",9,1,"Gillnet",7.129,37079
"786",2008,"Sep",9,2,"Gillnet",2.672,11979
"787",2008,"Sep",9,3,"Gillnet",4.195,13173
"788",2009,"Sep",9,1,"Gillnet",4.354,35373
"789",2009,"Sep",9,2,"Gillnet",0.627,8061
"790",2009,"Sep",9,3,"Gillnet",3.56,10779
"791",2010,"Sep",9,1,"Gillnet",5.532,42616
"792",2010,"Sep",9,2,"Gillnet",1.304,12012
"793",2010,"Sep",9,3,"Gillnet",5.824,13066
"794",2011,"Sep",9,1,"Gillnet",5.951,37436
"795",2011,"Sep",9,2,"Gillnet",1.38,13936
"796",2011,"Sep",9,3,"Gillnet",7.47,13839
"797",2012,"Sep",9,1,"Gillnet",3.13,38108
"798",2012,"Sep",9,2,"Gillnet",0.772,12402
"799",2012,"Sep",9,3,"Gillnet",3.728,12720
"800",2013,"Sep",9,1,"Gillnet",4.34,27971
"801",2013,"Sep",9,2,"Gillnet",0.654,5202
"802",2013,"Sep",9,3,"Gillnet",3.686,15433
"803",2014,"Sep",9,1,"Gillnet",4.111,31316
"804",2014,"Sep",9,2,"Gillnet",0.413,6388
"805",2014,"Sep",9,3,"Gillnet",4.207,14872
"806",2015,"Sep",9,1,"Gillnet",2.505,21081
"807",2015,"Sep",9,2,"Gillnet",0.288,5187
"808",2015,"Sep",9,3,"Gillnet",1.851,8002
"809",2016,"Sep",9,1,"Gillnet",3.643,28760
"810",2016,"Sep",9,2,"Gillnet",1.189,3882
"811",2016,"Sep",9,3,"Gillnet",2.265,4694
"812",2017,"Sep",9,1,"Gillnet",1.945,23121
"813",2017,"Sep",9,2,"Gillnet",0.252,3014
"814",2017,"Sep",9,3,"Gillnet",0.726,3602
"815",2018,"Sep",9,1,"Gillnet",3.078,27020
"816",2018,"Sep",9,2,"Gillnet",0.33,3471
"817",2018,"Sep",9,3,"Gillnet",1.12,3790
"818",2019,"Sep",9,1,"Gillnet",1.985,24577
"819",2019,"Sep",9,2,"Gillnet",0.218,2330
"820",2019,"Sep",9,3,"Gillnet",1.116,2059
"821",2020,"Sep",9,1,"Gillnet",2.77,26572
"822",2020,"Sep",9,2,"Gillnet",0.351,2692
"823",2020,"Sep",9,3,"Gillnet",0.941,1699
